Gene	T389pH67_1	T401pH67_2	T455pH67_3	T642pH61_1	T665pH61_2	T672pH61_3	T652pH565_1	T671pH565_2	T699pH565_3	T723pH565_4
Fisuc_0284	29.5731	58.2330	55.8832	43.0029	54.3679	58.7722	66.6661	59.2004	65.4754	53.4054
Fisuc_0285	69.4325	62.1152	66.0438	24.8964	55.8373	39.7576	110.7602	96.5598	114.7173	88.5405
Fisuc_0286	163.2949	172.1107	194.3211	169.7483	163.1037	160.7591	132.8073	132.7697	119.0462	157.8739
Fisuc_0287	68.1467	81.5261	86.3649	72.4259	88.1641	98.5298	175.8516	246.5724	209.9543	190.6666
Fisuc_0288	519.4579	887.7291	430.5545	470.7686	446.6983	473.6345	516.0063	528.2052	479.9727	435.6756
Fisuc_0289	105.4345	172.1107	107.9562	88.2691	129.3074	112.3585	123.8835	127.5969	104.4360	100.2522
Fisuc_0290	509.1716	757.0284	458.4961	461.7153	499.5968	551.4212	895.5307	731.6705	830.0769	728.4684
Fisuc_0291	20.5726	28.4694	8.8905	22.6331	30.8575	27.6575	42.5193	50.0042	49.2418	46.3784
Fisuc_0292	72.0041	47.8804	57.1533	52.0561	67.5925	76.0581	53.0179	55.7518	54.6530	73.5495
Fisuc_0293	30.8589	18.1169	26.6715	24.8964	19.1022	19.0145	23.0969	27.5885	25.9737	23.4234
Fisuc_0294	38.5736	32.3516	34.2920	45.2662	27.9186	25.9289	35.6952	35.0604	30.8438	39.3513
Fisuc_0295	24.4300	31.0576	35.5620	6.7899	13.2246	19.0145	36.7451	38.5090	38.4195	41.2252
Fisuc_0296	640.3219	437.3942	680.7588	436.8189	487.8416	461.5343	416.2695	423.5987	452.9168	496.5765
Fisuc_0297	36.0020	41.4101	36.8321	11.3166	24.9798	31.1147	17.8476	18.9671	9.7401	14.5225
Fisuc_0298	216.0122	231.6378	231.1532	224.0677	202.7775	205.7026	241.9928	232.7781	252.1615	223.9279
Fisuc_0299	317.5894	342.9274	321.3283	387.0261	405.5551	390.6620	397.8970	400.6083	412.8740	374.3063
Fisuc_0300	57.8604	45.2923	120.6569	65.6360	72.0007	96.8012	177.4264	262.6657	272.7241	162.0901
Fisuc_0301	104.1487	89.2905	106.6861	106.3756	88.1641	95.0726	87.1384	93.1112	82.7912	84.7928
Fisuc_0302	34.7162	31.0576	25.4014	27.1597	33.7963	12.1002	11.5485	22.9904	21.6448	22.0180
Fisuc_0303	146.5797	130.7006	186.7006	117.6921	117.5522	134.8303	94.4874	85.0646	83.3324	81.5135
Fisuc_0305	236.5848	236.8140	281.9561	221.8044	211.5939	250.6460	125.4583	148.2883	127.7041	138.6667
Fisuc_0306	9.0005	7.7644	1.2701	4.5266	11.7552	5.1858	89.2381	44.8313	66.0165	101.1892
Fisuc_0307	150.4371	148.8176	133.3576	271.5972	233.6350	278.3035	306.0342	259.2171	308.4379	291.8558
Fisuc_0308	528.4584	538.3313	604.5545	853.2680	849.3146	891.9540	1898.1471	1577.1436	2031.9026	1471.4593
Fisuc_0309	5.1431	12.9407	8.8905	6.7899	1.4694	10.3716	7.3490	5.7476	4.8701	8.9009
Fisuc_0312	100.2914	75.0558	133.3576	101.8490	116.0828	121.0015	156.4292	162.6573	193.7207	169.1171
Fisuc_0313	729.0412	1013.2534	671.8683	504.7182	549.5565	610.1933	571.1239	541.4247	443.7177	431.4594
Fisuc_0314	55.2888	75.0558	53.3430	83.7425	104.3276	86.4296	60.3670	66.6723	58.9820	63.7117
Fisuc_0315	9.0005	10.3525	20.3212	11.3166	11.7552	13.8287	17.3227	15.5185	15.1513	12.1802
