Name,wildtype-rep1
CPE1337,0
CPE1338,2
CPE1339,34
CPE1340,67
CPE1341,29
CPE1342,14
CPE1343,23
CPE1344,89
CPE1345,52
CPE1346,36
CPE1347,57
CPE1348,0
CPE1349,1
CPE1350,325
CPE1351,10
CPE1352,37
CPE1353,30
CPE1354,64
CPE1355,3
CPE1356,0
CPE1357,75
CPE1358,24
CPE1359,6
CPE1360,4
CPE1361,6
CPE1362,85
CPE1363,23
CPE1364,21
CPE1365,22
CPE1366,22
CPE1367,10
CPE1368,72
CPE1369,116
CPE1370,21
CPE1371,285
CPE1372,26
CPE1373,69
CPE1374,21
CPE1375,49
CPE1376,15
CPE1377,738
CPE1378,39
CPE1379,19
CPE1380,27
CPE1381,3
CPE1382,197
CPE1383,0
CPE1384,0
CPE1385,5
CPE1386,0
CPE1387,0
CPE1388,0
CPE1389,81
CPE1390,167
CPE1391,15
CPE1392,233
CPE1393,108
CPE1394,273
CPE1395,11
CPE1396,25
CPE1397,64
CPE1398,670
CPE1399,107
CPE1400,85
CPE1401,21
CPE1402,122
CPE1403,43
CPE1404,2
CPE1405,0
CPE1406,9
CPE1407,17
CPE1408,33
CPE1409,0
CPE1410,0
CPE1411,5
CPE1412,18
CPE1413,17
CPE1414,173
CPE1415,69
CPE1416,7
CPE1417,5
CPE1418,124
CPE1419,95
CPE1420,5
CPE1421,794
CPE1422,176
CPE1423,5
CPE1424,19
CPE1425,21
CPE1426,11
CPE1427,2
CPE1428,563
CPE1429,67
CPE1430,19
CPE1431,37
CPE1432,36
CPE1433,28
CPE1434,20
CPE1435,15
CPE1436,2
CPE1437,11
CPE1438,7
CPE1439,5
CPE1440,4
CPE1441,4
CPE1442,14
CPE1443,36
CPE1444,28
CPE1445,66
CPE1446,83
CPE1447,44
CPE1448,53
CPE1449,10
CPE1450,20
CPE1451,10
CPE1452,179
CPE1453,146
CPE1454,86
CPE1455,0
CPE1456,26
CPE1457,26
CPE1458,1
CPE1459,12
CPE1460,4
CPE1461,7
CPE1462,60
CPE1463,445
CPE1464,203
CPE1465,114
CPE1466,70
CPE1467,385
CPE1468,25
CPE1469,3
CPE1470,66
CPE1471,62
CPE1472,141
CPE1473,144
CPE1474,2675
CPE1475,183
CPE1476,104
CPE1477,0
CPE1478,7
CPE1479,7
CPE1480,4
CPE1481,60
CPE1482,122
CPE1483,78
CPE1484,58
CPE1485,10
CPE1486,16
CPE1487,260
CPE1488,20
CPE1489,238
CPE1490,17
CPE1491,50
CPE1492,42
CPE1493,46
CPE1494,30
CPE1495,31
CPE1496,29
CPE1497,86
CPE1498,73
CPE1499,49
CPE1500,46
CPE1501,27
CPE1502,55
CPE1503,63
CPE1504,151
CPE1505,47
CPE1506,83
CPE1507,140
CPE1508,70
CPE1509,12
CPE1510,11
CPE1511,0
CPE1512,61
CPE1513,6
CPE1514,9
CPE1515,19
CPE1516,30
CPE1517,17
CPE1518,125
CPE1519,328
CPE1520,16
CPE1521,17
CPE1522,18
CPE1523,145
CPE1524,7
CPE1525,72
CPE1526,65
CPE1527,7
CPE1528,150
CPE1529,454
CPE1530,2
CPE1531,84
CPE1532,129
CPE1533,110
CPE1534,251
CPE1535,12
CPE1536,3
CPE1537,3
CPE1538,2
CPE1539,165
CPE1540,107
CPE1541,68
CPE1542,140
CPE1543,6
CPE1544,8
CPE1545,6
CPE1546,472
CPE1547,104
CPE1548,62
CPE1549,114
CPE1550,19
CPE1551,71
CPE1552,15
CPE1553,0
CPE1554,125
CPE1555,126
CPE1556,54
CPE1557,10
CPE1558,2
CPE1559,3
CPE1560,147
CPE1561,4738
CPE1562,184
CPE1563,370
CPE1564,22
CPE1565,52
CPE1566,10
CPE1567,46
CPE1568,102
CPE1569,29
CPE1570,433
CPE1571,90
CPE1572,23
CPE1573,141
CPE1574,21
CPE1575,15
CPE1576,23
CPE1577,1
CPE1578,0
CPE1579,2
CPE1580,0
CPE1581,21
CPE1582,10
CPE1583,12
CPE1584,27
CPE1585,71
CPE1586,0
CPE1587,26
CPE1588,67
CPE1589,2
CPE1590,11
CPE1591,6
CPE1592,237
CPE1593,122
CPE1594,8
CPE1595,35
CPE1596,45
CPE1597,4
CPE1598,244
CPE1599,2
CPE1600,2
CPE1601,1
CPE1602,3
CPE1603,0
CPE1604,19
CPE1605,82
CPE1606,24
CPE1607,13
CPE1608,25
CPE1609,37
CPE1610,96
CPE1611,15
CPE1612,5
CPE1613,21
CPE1614,81
CPE1615,21
CPE1616,0
CPE1617,47
CPE1618,126
CPE1619,114
CPE1620,1
CPE1621,157
CPE1622,6
CPE1623,56
CPE1624,6
CPE1625,112
CPE1626,756
CPE1627,282
CPE1628,294
CPE1629,550
CPE1630,720
CPE1631,1174
CPE1632,1418
CPE1633,313
CPE1634,370
CPE1635,148
CPE1636,293
CPE1637,167
CPE1638,178
CPE1639,57
CPE1640,179
CPE1641,108
CPE1642,76
CPE1643,135
CPE1644,47
CPE1645,164
CPE1646,248
CPE1647,2
CPE1648,2
CPE1649,3
CPE1650,86
CPE1651,51
CPE1652,2
CPE1653,183
CPE1654,364
CPE1655,7
CPE1656,145
CPE1657,2
CPE1658,109
CPE1659,100
CPE1660,161
CPE1661,204
CPE1662,87
CPE1663,23
CPE1664,151
CPE1665,8
CPE1666,78
CPE1667,9
CPE1668,98
CPE1669,1175
CPE1670,150
CPE1671,419
CPE1672,767
CPE1673,163
CPE1674,86
CPE1675,144
CPE1676,21
CPE1677,54
CPE1678,52
CPE1679,44
CPE1680,172
CPE1681,1349
CPE1682,29
CPE1683,30
CPE1684,41
CPE1685,100
CPE1686,101
CPE1687,51
CPE1688,25
CPE1689,66
CPE1690,78
CPE1691,52
CPE1692,133
CPE1693,57
CPE1694,92
CPE1695,58
CPE1696,24
CPE1697,107
CPE1698,52
CPE1699,583
CPE1700,444
CPE1701,161
CPE1702,47
CPE1703,22
CPE1704,0
CPE1705,1
CPE1706,12
CPE1707,17
CPE1708,776
CPE1709,14
CPE1710,21
CPE1711,400
CPE1712,869
CPE1713,254
CPE1714,20
CPE1715,14
CPE1716,63
CPE1717,98
CPE1718,48
CPE1719,1370
CPE1720,23
CPE1721,16
CPE1722,651
CPE1723,1085
CPE1724,106
CPE1725,50
CPE1726,11
CPE1727,8
CPE1728,40
CPE1729,66
CPE1730,79
CPE1731,63
CPE1732,165
CPE1733,94
CPE1734,465
CPE1735,45
CPE1736,42
CPE1737,63
CPE1738,149
