Gene.ID,24hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM
CT772,0.4899414
CT773,0.7767858
CT774,0.2626962
CT775,1.7530989
CT776,0.7092431
CT777,0.4379393
CT778,0.1365038
CT779,0.1155463
CT780,1.7290229
CT781,0.4537962
CT782,0.3703999
CT783,2.2302139
CT784,3.8284539
CT785,6.2940180
CT786,13.3665726
CT787,5.5517636
CT788,1.2946903
CT789,0.3518349
CT790,2.2986922
CT791,0.2117811
CT792,0.2480664
CT793,0.0364526
CT794,0.2220123
CT794.1,0.0976315
CT795,0.8126841
CT796,0.2262403
CT797,0.6845172
CT798,3.3345789
CTt34,0.9324462
CT799,2.9465291
CT800,1.4958449
CT801,7.4220397
CT802,9.1701920
CT803,4.9552339
CT804,0.6666828
CT805,0.2761921
CT806,0.2633822
CT807,0.1960255
CT808,0.5787162
CT809,0.1562167
CT810,2.2149791
CT811,0.5267235
CT812,0.3579847
CT813,0.0939042
CT814,0.3312710
CT814.1,0.3928791
CT815,0.2912180
CT816,0.5361564
CT817,0.3783829
CT818,0.2015719
CT819,1.9380740
CT820,0.5942793
CT821,0.9674478
CT822,0.6527184
CT823,0.8325565
CT824,1.2473424
CT825,0.3190723
CT826,0.2210745
CT827,1.8213894
CT828,1.6984107
CT829,0.3664692
CTt35,0.4080932
CT830,0.0920620
CT831,0.1273648
CT832,0.7883021
CT833,3.0694051
CT834,4.3152778
CT835,2.4114455
CT836,0.9276346
CTt36,0.2385671
CT837,0.1746853
CT838,0.2326162
CT839,0.2629905
CT840,0.1376851
CT841,0.8161352
CT842,2.5371853
CT843,18.1412554
CT844,0.1978143
CT845,0.2878743
CT846,0.1892738
CT847,0.2546208
CT848,0.3333545
CT849,0.7892912
CT849.1,1.5544286
CT850,0.3418983
CT851,0.2499550
CT852,0.0161037
CT853,0.5133237
CT854,0.1742217
CT855,0.2295380
CT856,0.2032781
CT857,0.2834103
CT858,1.1374809
CT859,1.1863458
CT860,0.1225201
CT861,0.0651260
CT862,0.1288050
CT863,0.1466017
CTt37,0.4006600
CT864,0.3939797
CT865,0.3415623
CT866,0.5117853
CT867,0.1487557
CT868,0.0488584
CT869,0.5568532
CT870,0.4230372
CT871,0.7594356
CT872,0.8905207
CT873,0.0284865
CT874,0.3154524
CT875,0.2280703
