key	KN1_R2	KN2_R2	KN3_R2	KN4	KN5	KN6	KN7	KN8	KN9	KN10	KN11	KN12_R1	KN13_R1	KN14_R1
BSU23380	32168.9	30034.8	37378	1183.3	16943.1	34913.5	43244.3	1.9	42545.2	37702.2	39790.4	8327.1	29919	37226.3
BSU23390	610.6	474.9	577.6	3966.4	2613.8	1738.7	1670.8	0	664.3	658.3	536.4	3063.2	2050.6	1684
BSU23401	190.5	135.3	136.9	2740.2	168.9	342.3	303.2	1.8	222.9	257.4	136.3	214.7	157.3	143.8
BSU23402	102.4	270.9	281.7	208.6	251.4	311.6	667.1	7.9	297.3	98.6	472	277.5	137.7	373.6
BSU23410	50.8	24.9	42.8	2101.5	233.3	116.3	36.1	0.5	75	85.8	26.1	107.1	154.6	170.8
BSU23420	0	33.8	0	0	39.7	32.9	0	0	26.7	14.9	0	72.5	0	0
BSU23430	178.6	117.3	137.7	36076.1	624.2	246.4	329.2	78.6	305	153.8	137	1168.4	523.6	287.7
BSU23440	0	0	0	623.2	0	30.3	12.2	2.5	25.3	0	0	34.8	14.5	0
BSU23450	599.4	1115.6	1452.8	2864.5	125.5	252	335.9	5.2	538.7	773.1	1686.4	135.8	354.6	202.3
BSU23460	303.1	555.4	819.2	4142.7	185.9	26.7	146.8	1.7	252.8	428.4	668.4	82.3	92.2	202.6
BSU23470	503.2	914.1	1616.4	5643.4	60.4	241.8	170.5	6.9	374.8	1174.5	1243.1	240.2	121.9	301.9
BSU23480	8.5	0	26.2	271.2	5.9	16.6	54.8	1.1	25.3	33	0	20.9	0	83.1
BSU23490	11242.3	8390.3	5015	4781.1	2540.6	4460.4	3860.4	0	7358.9	8455.6	7186	1709.8	2508.4	3403.3
BSU23500	5331.4	3772.7	2432.6	1762.4	1205.4	1974.8	1905.5	0	3443.1	3368.5	2830	1113.4	1214.1	1546.6
BSU23510	3013.5	2637.6	2151	1299.1	1421.6	2489.6	2603.9	0	1905.9	2001.7	2043.5	1182.9	2200.3	3185.2
BSU23519	1705.8	1684.1	2224.9	1391.5	2110.9	1657	3888.3	0	2409.1	1408.1	614.7	4712.5	3875	3867.5
BSU23520	34807.2	34260.4	40158.6	21399.3	47878.1	29135.1	29532	0	54521.9	62901.4	41026.7	103706.1	65397.6	49232.4
BSU23530	35.5	71.3	40	0	29.5	135.9	41.1	0	43.7	0	0	125.6	0	86.4
BSU23540	308.6	392.3	146.5	6504.9	653.7	553.6	471.2	0	576.7	253.7	82.7	1735.9	777.2	722.4
BSU23550	21462.5	12011.2	11112.4	585774.6	17994.2	7209.5	9490.4	0	11835.7	10181.9	14812.3	18296.5	4677.5	4754.8
BSU23560	7338.1	6341.6	5743.1	388189.4	9777.2	4682.6	5840.6	0	7074.7	5264.9	6796.9	8942.5	2366.8	2349.6
BSU23570	7420	4229.3	3556.2	503572.7	33473.6	8523.8	5471.4	17	5175.1	4555	4680.1	26859.8	9827.6	5441.3
BSU23580	3144	2006	1588.7	122245.4	24699.6	5847.2	3130.8	5.3	3390.3	2461.5	2190	18758.4	6936.1	3471.3
BSU23590	3189.1	1931.4	2196.1	5065.8	14197.3	4620.1	3440.8	0	3134	3000.2	2286.4	14031.9	6621.5	5148.3
BSU23600	5350.5	4337.4	4635.8	95054.7	20508	9045.6	7922.2	280.2	4600.3	5570.2	6140.1	45200.6	18906.6	8279.7
BSU23610	4593.2	3589.4	2914.4	9890.9	15923.4	6874.4	6092.6	0	3042.9	3592.2	4440.6	35878	15631.2	6730.1
BSU23620	671.6	748.7	509.8	0	744.4	1609.8	873.8	0	640	504.6	311.8	625.9	1311	1072.6
BSU23630	1259.1	1227.8	1496.2	3409	3908.5	2886	2713.5	0	1278.5	1713.4	1939.6	3169	3793.4	4150.4
BSU23640	2017.6	1737.5	1605.7	4576.5	9735.3	5270.1	3465	0	2285	2355.7	2934.9	11307.4	7187.6	4299
BSU23650	35743.9	27686.3	27122.4	45062.8	69054.7	56107.7	47791.4	5.6	42796.2	39036.6	34536.1	86617.8	75539.7	51833.7
BSU23660	20656.6	15529.9	15815.1	2991.5	46339.6	46418.1	31607.7	5	17238.4	18226.1	22023.2	36989.6	52489.8	45957.6
BSU23670	1876.9	1749.4	929.6	307.4	540.2	767.7	609.4	0	1601.3	1396.9	1880.5	324.8	630.5	630.3
BSU23680	3011.5	1959.9	1421	757.9	197.7	496	852.2	0	2747.2	2483.1	2014	415.2	279	892.7
BSU23690	1191.8	849.9	730.7	1561.9	229.5	414.6	390.4	0	1255.7	1065.5	821.9	206.8	197.1	235.3
BSU23700	910.4	793	1321.1	15920.6	454.6	179.1	675.7	0	376.3	690.7	708.1	1667.2	463.7	1457.4
BSU23710	1270	1013.2	1994	23837	1435.3	427.4	1066.4	0.9	1068	1310.3	1846.1	3931.7	870.6	1980.2
BSU23720	3049.5	3232.4	2711.8	6046.6	3811.4	2107.8	3856.4	0	5157	3201.3	2678.4	4946.9	4553.3	3783.6
BSU23730	857.4	900.3	666	0	587.6	663.8	647.4	0	834.4	788.2	782.8	441.3	352.2	366.9
BSU23740	692.4	321.6	749.9	1943	50.4	101.3	214.2	0	243.5	293.5	356.4	270.2	192	119.4
BSU23750	3102.4	2204.7	2025.1	2450.5	512.6	854.4	617.7	0	1857.2	1445	2480.3	183.9	419.5	894.2
BSU23760	1335.3	1576.3	872.4	337.8	441.8	551.7	625.4	0	1329.4	1306.6	1344.3	219.5	676.4	482
BSU23770	1958	1409.6	1217.5	830.9	1298.9	816.9	925.1	0	1675.3	1195.6	1191.5	831.7	799.1	785.7
BSU23780	3263.8	2949	3204.8	2252.8	4789.2	2756.7	2926.8	0	3797.5	3228.3	3443.8	4638	3326.1	3254.8
BSU23790	2694.9	2110.8	2543.3	998.7	4479.2	2620.4	2660.6	0.9	2600.5	2471.7	2977.5	5474.8	3343.9	3179.5
BSU23800	4094.8	6349	7605.1	791.4	1449.3	3371.8	4586.8	0	6017.3	9207.6	9431.2	792.3	1684.4	4001.8
BSU23810	924.1	745.9	879.2	1546	512.3	548.6	538.2	0	1086.9	797.5	883	711.2	877.1	658
BSU23820	1010.8	662.6	524.1	445.7	284.8	774	810.1	0	1032.5	683.6	492.8	56.4	781.6	855
